Northing,Easting,Zone
5090623.09922252,681905.302867107,19
5090623.09922252,681905.302867107,19
5090483.99914188,682192.242167057,19
5090483.99914188,682192.242167057,19
5090547.03178661,682229.325582637,19
5090547.03178661,682229.325582637,19
5090552.41662775,682219.624926202,19
5090555.79805055,682213.629434335,19
5090576.53094973,682237.91933284,19
5090602.38675713,682160.745287978,19
5090602.38675713,682160.745287978,19
5090626.45903649,682064.541273441,19
5090528.9758969,682261.819524454,19
5090557.10171245,682272.858524071,19
5090562.48877421,682263.235348626,19
5090468.02537065,682799.208194848,19
5090540.68934539,682879.753713287,19
5090540.68934539,682879.753713287,19
5090615.38492467,682927.500368838,19
5090563.36770914,683441.742741724,19
5090487.59128137,683473.783250957,19
5090755.20899691,679867.645252639,19
5090755.20899691,679867.645252639,19
5090755.20899691,679867.645252639,19
5090755.20899691,679867.645252639,19
5090747.37742099,680125.329898186,19
5090747.37550709,680357.576869443,19
5090684.86355878,680524.320129816,19
5090684.86355878,680524.320129816,19
5090674.02631024,680807.542573264,19
5090676.48142023,680792.654390756,19
5090708.62611204,680781.551444449,19
5090708.62611204,680781.551444449,19
5090725.91734813,680677.099361288,19
5090844.62069315,680781.526463021,19
5090842.50799684,681107.77162306,19
5090702.54198239,681612.296950654,19
5090698.18327986,681774.009618293,19
5090698.18327986,681774.009618293,19
5090698.18327986,681774.009618293,19
5090780.59478813,681687.573465681,19
5090805.80082436,681977.027874097,19
5090675.06100251,682200.491550679,19
5090687.22577146,682183.144028752,19
5090753.0222545,682219.679147545,19
5090688.52326089,682422.886214295,19
5090702.64153265,682396.404417451,19
5090716.33125687,682321.52957178,19
5090716.33125687,682321.52957178,19
5090716.33125687,682321.52957178,19
5090716.33125687,682321.52957178,19
5090742.33089819,682301.989305167,19
5090742.33089819,682301.989305167,19
5090755.41973093,682425.099107115,19
5090766.3959732,682431.523714362,19
5090826.70763164,682331.303044151,19
5090826.70763164,682331.303044151,19
5090829.61461928,682331.837790684,19
5090750.46813962,682456.972784048,19
5090690.34494932,682736.386628323,19
5090661.0296231,683292.922859372,19
5090661.0296231,683292.922859372,19
5090661.0296231,683292.922859372,19
5090661.0296231,683292.922859372,19
5090683.89176583,683276.4190492,19
5090720.62011577,683251.280999891,19
5091036.68564938,680884.886504516,19
5091016.10422262,681237.106500291,19
5090973.21014212,681344.092097811,19
5090886.53565097,681493.710746228,19
5090886.53565097,681493.710746228,19
5090886.53565097,681493.710746228,19
5091005.96453791,681686.527803092,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5091033.28940978,682028.966427898,19
5090905.60325278,682242.792221022,19
5090905.60325278,682242.792221022,19
5090905.60325278,682242.792221022,19
5090905.60325278,682242.792221022,19
5090917.21835958,682097.547294608,19
5090942.69604746,682146.984029743,19
5090942.69604746,682146.984029743,19
5090998.97620751,682219.0151991,19
5090878.1857197,682293.402155034,19
5090938.58926106,682331.800643725,19
5090938.58926106,682331.800643725,19
5091039.85474154,682379.46344031,19
5090869.53257867,682463.461749555,19
5090945.5016508,682685.939761045,19
