Northing,Easting,value
5081150,671350,0
5081150,671550,0
5081150,671750,0
5081150,671950,0
5081150,672150,0
5081150,672350,0
5081150,672550,0
5081150,672750,0
5081150,672950,0
5081150,673150,0
5081150,673350,0
5081150,673550,0
5081150,673750,0
5081150,673950,0
5081150,674150,0
5081150,674350,0
5081150,674550,0
5081150,674750,0
5081150,674950,0
5081150,675150,0
5081150,675350,0
5081150,675550,0
5081150,675750,0
5081150,675950,0
5081150,676150,1
5081150,676350,0
5081150,676550,0
5081150,676750,0
5081150,676950,0
5081150,677150,0
5081150,677350,0
5081150,677550,0
5081150,677750,0
5081150,677950,0
5081150,678150,0
5081150,678350,0
5081150,678550,0
5081150,678750,0
5081150,678950,0
5081150,679150,0
5081150,679350,0
5081150,679550,0
5081150,679750,0
5081150,679950,0
5081150,680150,0
5081150,680350,0
5081150,680550,0
5081150,680750,0
5081150,680950,0
5081150,681150,0
5081150,681350,0
5081150,681550,0
5081150,681750,0
5081150,681950,0
5081150,682150,0
5081150,682350,0
5081150,682550,0
5081150,682750,0
5081150,682950,0
5081150,683150,0
5081150,683350,0
5081150,683550,0
5081150,683750,0
5081150,683950,0
5081150,684150,0
5081150,684350,0
5081150,684550,0
5081150,684750,0
5081150,684950,0
5081150,685150,0
5081150,685350,0
5081150,685550,0
5081150,685750,0
5081150,685950,0
5081150,686150,0
5081150,686350,0
5081150,686550,0
5081150,686750,0
5081150,686950,0
5081150,687150,0
5081150,687350,0
5081150,687550,0
5081150,687750,0
5081150,687950,0
5081150,688150,0
5081150,688350,0
5081150,688550,0
5081150,688750,0
5081150,688950,0
5081150,689150,0
5081150,689350,0
5081150,689550,0
5081150,689750,0
5081150,689950,0
5081350,671350,0
5081350,671550,0
5081350,671750,0
5081350,671950,0
5081350,672150,0
5081350,672350,0
5081350,672550,0
5081350,672750,0
5081350,672950,0
5081350,673150,0
5081350,673350,0
5081350,673550,0
5081350,673750,0
5081350,673950,0
5081350,674150,0
5081350,674350,0
5081350,674550,0
5081350,674750,0
5081350,674950,0
5081350,675150,0
5081350,675350,0
